,word,positive,negative
0,i,5465,8870
1,to,6997,5865
2,you,4651,3299
3,birthday,3091,69
4,the,6426,5387
5,and,5776,4772
6,so,3696,4370
7,a,5497,4516
8,my,2764,3321
9,for,3773,2185
10,be,2653,1837
11,im,1611,2611
12,is,3260,3451
13,of,3483,2759
14,me,1787,2591
15,in,2897,2284
16,that,1994,2627
17,it,2333,2501
18,this,2560,2735
19,with,2545,1158
20,love,1209,1064
21,day,1392,603
22,your,1555,781
23,have,2804,1501
24,but,1582,2574
25,are,1527,1293
26,just,1349,1658
27,on,1789,1470
28,was,1606,1490
29,i'm,0,0
30,all,1470,1092
31,hope,844,368
32,not,1012,1476
33,we,1215,879
34,makes,581,503
35,at,1541,1023
36,good,729,535
37,make,813,424
38,as,719,544
39,one,773,784
40,if,878,788
41,like,1035,1183
42,when,852,1028
43,see,721,828
44,am,490,543
45,about,799,929
46,u,468,655
47,what,750,792
48,can,706,681
49,they,676,859
50,its,876,1203
51,he,509,953
52,how,615,827
53,get,733,984
54,do,793,755
55,life,429,325
56,much,1026,636
57,know,575,791
58,really,579,1087
59,great,671,199
60,very,443,517
61,been,523,528
62,will,630,597
63,up,714,745
64,now,538,775
65,best,404,232
66,today,674,398
67,more,733,534
68,from,707,577
69,people,621,680
70,always,512,333
71,out,857,749
72,time,690,604
73,her,376,488
74,bday,253,18
75,got,452,481
76,had,968,524
77,may,546,129
78,our,743,305
79,thank,443,240
80,-,670,257
81,an,550,467
82,miss,339,893
83,dont,393,769
84,she,340,434
85,him,315,591
86,being,391,359
87,would,443,425
88,us,492,217
89,no,490,932
90,want,386,797
91,who,463,451
92,them,363,514
93,new,478,207
94,go,451,711
95,because,347,603
96,never,280,470
97,or,452,507
98,it's,0,0
99,too,410,699
100,by,495,323
101,"happy,",167,15
102,has,412,431
103,girl,258,158
104,back,378,382
105,cant,281,486
106,going,443,431
107,friday,419,59
108,feel,258,667
109,made,314,269
110,"birthday,",168,1
111,man,247,311
112,think,354,497
113,his,274,545
114,wish,230,343
115,here,331,326
116,only,321,434
117,youre,258,240
118,everyone,328,184
119,star,284,53
120,year,271,250
121,heart,164,212
122,some,730,429
123,well,292,263
124,were,350,284
125,there,369,438
126,still,290,544
127,thanks,343,98
128,say,247,272
129,even,298,516
130,look,263,252
131,friends,289,279
132,god,181,133
133,beautiful,180,105
134,enjoy,300,40
135,why,290,654
136,bro,146,47
137,many,224,239
138,:),216,55
139,right,248,303
140,amazing,236,90
141,don't,0,0
142,you're,0,0
143,first,304,208
144,little,332,214
145,ever,230,266
146,could,240,302
147,wars,234,32
148,their,327,334
149,baby,197,258
150,again,200,266
151,hour,139,34
152,years,198,139
153,keep,188,136
154,then,241,304
155,lol,275,241
156,did,249,320
157,than,251,258
158,things,260,161
159,sad,151,10001
160,finally,156,58
161,need,256,419
162,work,291,271
163,morning,217,76
164,way,320,278
165,ive,187,204
166,please,216,323
167,seeing,151,140
168,making,333,157
169,also,270,234
170,home,205,204
171,let,197,160
172,big,195,125
173,gonna,250,340
174,days,203,145
175,someone,199,379
176,over,221,288
177,last,355,310
178,",",140,88
179,most,245,180
180,such,226,228
181,help,148,180
182,world,154,153
183,after,200,221
184,bless,99,19
185,friend,156,146
186,every,185,183
187,long,173,134
188,come,356,255
189,pretty,186,179
190,stay,135,92
191,getting,194,183
192,better,148,257
193,doing,221,145
194,hear,117,190
195,take,229,248
196,proud,117,54
197,2,224,180
198,3,173,156
199,wait,200,115
200,live,217,208
201,these,285,248
202,shit,170,251
203,any,191,186
204,family,244,120
205,thursday,102,8
206,omg,140,211
207,other,235,198
208,deserve,100,104
209,sure,217,118
210,off,224,199
211,ya,117,59
212,thats,183,315
213,t,200,136
214,"you,",115,39
215,wonderful,113,19
216,another,160,135
217,everything,122,129
218,having,625,136
219,into,187,145
220,week,255,160
221,w,153,147
222,tell,144,141
223,hard,148,143
224,anniversary,94,9
225,night,366,182
226,weekend,425,79
227,hi,112,96
228,person,107,159
229,fucking,96,180
230,wanna,187,368
231,thing,168,288
232,yall,134,142
233,tomorrow,220,167
234,guys,199,172
235,oh,188,372
236,next,220,169
237,hes,88,195
238,old,145,170
239,actually,173,236
240,same,134,336
241,i've,0,0
242,glad,158,58
243,ill,120,179
244,fun,9336,119
245,4th,154,15
246,together,141,68
247,since,128,175
248,belated,70,0
249,super,176,93
250,ur,103,145
251,yes,126,133
252,show,204,162
253,both,136,117
254,two,148,133
255,awesome,133,26
256,something,216,207
257,done,125,128
258,game,337,130
259,should,242,180
260,congrats,83,7
261,place,106,71
262,we're,0,0
263,favorite,152,82
264,smile,86,56
265,happiness,64,19
266,where,162,199
267,literally,102,154
268,tonight,244,166
269,can't,0,0
270,lot,260,176
271,those,160,167
272,sweet,83,79
273,1,126,74
274,soon,106,154
275,said,127,192
276,b,120,104
277,mom,88,102
278,nice,145,104
279,watching,159,148
280,ass,112,119
281,guy,110,94
282,sorry,94,507
283,twitter,108,101
284,video,194,180
285,find,155,178
286,honestly,87,116
287,give,124,153
288,feeling,95,172
289,found,78,89
290,before,154,161
291,around,139,89
292,music,129,99
293,boy,81,115
294,hey,119,101
295,ending,58,65
296,looks,223,117
297,nothing,89,124
298,team,179,70
299,real,173,150
300,without,109,116
301,bc,97,246
302,brother,70,47
303,starwarsday,111,2
304,i'll,0,0
305,does,110,134
306,care,177,127
307,cute,113,297
308,anything,121,136
309,trying,124,160
310,myself,92,140
311,free,172,69
312,thought,131,196
313,fuck,97,140
314,4,121,82
315,excited,116,65
316,maythe4thbewithyou,120,6
317,through,99,128
318,post,102,94
319,&lt,80,57
320,that's,0,0
321,news,73,196
322,wow,87,169
